"IndividualId","Time [min]","Organism|PeripheralVenousBlood|DrugX|Plasma (Peripheral Venous Blood) [µmol/l]"
1,1320,0.00013568217
1,1335,0.00013281945
1,1350,0.00013004668
1,1365,0.0001273586
1,1380,0.00012475102
1,1395,0.00012221967
1,1410,0.000119760225
1,1425,0.00011736912
1,1440,0.000115043375
2,0,0
2,3,0.111489795
2,6,0.16860743
2,9,0.11056754
2,12,0.0767979
2,15,0.059020564
2,18,0.049747765
2,21,0.044632763
2,24,0.041503254
2,27,0.039330862
2,30,0.037637606
2,33,0.03619964
2,36,0.03491308
2,39,0.033727203
2,42,0.0326169
2,45,0.03156858
2,48,0.030574212
2,51,0.029628797
2,54,0.028728815
2,57,0.027871216
2,60,0.027053148
2,63,0.026272194
2,66,0.025526304
2,69,0.024813613
2,72,0.024132375
2,75,0.023480818
2,78,0.022857198
2,81,0.022259954
2,84,0.02168766
2,87,0.021138988
2,90,0.020612674
2,93,0.02010748
2,96,0.019622251
2,99,0.019155925
2,102,0.018707491
2,105,0.018276036
2,108,0.017860651
2,111,0.01746052
2,114,0.017074836
2,117,0.01670286
2,120,0.016343892
2,135,0.014722401
2,150,0.0133421505
2,165,0.012151698
2,180,0.011112613
2,195,0.010195999
2,210,0.00937997
2,225,0.008647937
2,240,0.007987076
2,255,0.0073872427
2,270,0.0068403897
2,285,0.006340107
2,300,0.0058811936
2,315,0.0054593016
2,330,0.005070788
2,345,0.004712435
2,360,0.00438151
2,375,0.004075653
2,390,0.0037927749
2,405,0.0035310276
2,420,0.003288731
2,435,0.0030643558
2,450,0.0028565014
2,465,0.0026638894
2,480,0.0024853647
2,495,0.002319865
2,510,0.0021664156
2,525,0.002024113
2,540,0.0018921219
2,555,0.0017696718
2,570,0.0016560507
2,585,0.001550604
2,600,0.0014527247
2,615,0.001361855
2,630,0.0012774739
2,645,0.0011991035
2,660,0.0011262986
2,675,0.0010586461
2,690,0.000995767
2,705,0.00093730557
2,720,0.0008829376
2,735,0.00083236006
2,750,0.0007852945
2,765,0.0007414829
2,780,0.0007006864
2,795,0.00066268386
2,810,0.0006272705
2,825,0.0005942566
2,840,0.00056346634
2,855,0.0005347375
2,870,0.0005079191
2,885,0.00048287277
2,900,0.00045946927
2,915,0.00043758994
2,930,0.00041712436
2,945,0.00039797073
2,960,0.00038003427
2,975,0.00036322785
2,990,0.0003474701
2,1005,0.0003326864
2,1020,0.00031880706
2,1035,0.00030576807
2,1050,0.00029350983
2,1065,0.00028197747
2,1080,0.00027111993
2,1095,0.00026089008
2,1110,0.00025124417
2,1125,0.0002421417
2,1140,0.00023354516
2,1155,0.00022541975
2,1170,0.00021773334
2,1185,0.00021045604
2,1200,0.00020356028
2,1215,0.00019702043
2,1230,0.00019081298
2,1245,0.00018491571
2,1260,0.00017930807
2,1275,0.00017397181
2,1290,0.00016888883
2,1305,0.00016404226
2,1320,0.00015941814
2,1335,0.00015500176
2,1350,0.00015077964
2,1365,0.00014674015
2,1380,0.00014287217
2,1395,0.0001391649
2,1410,0.00013560869
2,1425,0.00013219487
2,1440,0.00012891486
3,0,0
3,3,0.14786154
3,6,0.1825425
3,9,0.09335756
3,12,0.05985726
3,15,0.045829695
3,18,0.039208576
3,21,0.03561458
3,24,0.033329822
3,27,0.031650152
3,30,0.030274596
3,33,0.029069653
3,36,0.027973214
3,39,0.026955184
3,42,0.025999814
3,45,0.025097715
3,48,0.02424317
3,51,0.023432247
3,54,0.022661652
3,57,0.02192867
3,60,0.021230953
3,63,0.020566372
3,66,0.019932969
3,69,0.019328913
3,72,0.018752495
3,75,0.01820212
3,78,0.0176763
3,81,0.017173635
3,84,0.016692815
3,87,0.016232608
3,90,0.015791863
3,93,0.015369493
3,96,0.014964483
3,99,0.014575876
3,102,0.014202775
3,105,0.013844336
3,108,0.013499768
3,111,0.013168328
3,114,0.01284932
3,117,0.012542089
3,120,0.012246022
3,135,0.010914119
3,150,0.009788049
3,165,0.008823285
3,180,0.007986923
3,195,0.0072544287
3,210,0.006607314
3,225,0.0060314955
3,240,0.005516083
3,255,0.005052488
3,270,0.0046338616
3,285,0.004254684
3,300,0.0039104065
3,315,0.0035972053
3,330,0.003311826
3,345,0.0030514745
3,360,0.0028137267
3,375,0.0025964465
3,390,0.0023977358
3,405,0.0022159067
3,420,0.0020494324
3,435,0.0018969529
3,450,0.001757243
3,465,0.0016291913
3,480,0.0015117909
3,495,0.0014041241
3,510,0.001305343
3,525,0.0012147008
3,540,0.0011314664
3,555,0.0010550346
3,570,0.0009847956
3,585,0.00092023227
3,600,0.0008608608
3,615,0.0008062395
3,630,0.00075597025
3,645,0.00070968625
3,660,0.0006670506
3,675,0.00062775303
3,690,0.00059151486
3,705,0.0005580717
3,720,0.00052719115
3,735,0.0004986557
3,750,0.00047226812
3,765,0.00044785053
3,780,0.00042523874
3,795,0.000404283
3,810,0.00038484635
3,825,0.00036680352
3,840,0.0003500382
3,855,0.00033444643
3,870,0.00031993072
3,885,0.0003064031
3,900,0.00029378373
3,915,0.00028199865
3,930,0.00027098125
3,945,0.00026067006
3,960,0.00025100895
3,975,0.00024194615
3,990,0.00023343493
3,1005,0.00022543156
3,1020,0.00021789655
3,1035,0.00021079375
3,1050,0.00020408972
3,1065,0.00019775446
3,1080,0.00019176
3,1095,0.00018608102
3,1110,0.00018069404
3,1125,0.00017557784
3,1140,0.0001707126
3,1155,0.00016608035
3,1170,0.00016166446
3,1185,0.00015744964
3,1200,0.00015342217
3,1215,0.00014956914
3,1230,0.00014587874
3,1245,0.00014234007
3,1260,0.00013894343
3,1275,0.00013567974
3,1290,0.00013254043
3,1305,0.00012951749
3,1320,0.00012660382
3,1335,0.00012379333
3,1350,0.00012108
3,1365,0.00011845762
3,1380,0.00011592079
3,1395,0.00011346542
3,1410,0.000111087174
3,1425,0.00010878145
3,1440,0.00010654383
4,0,0
4,3,0.15756536
4,6,0.2163991
4,9,0.12549709
4,12,0.083777554
4,15,0.06395039
4,18,0.05382815
4,21,0.04809144
4,24,0.044404957
4,27,0.041724566
4,30,0.0395698
4,33,0.037713543
4,36,0.036044847
4,39,0.034507465
4,42,0.033072002
4,45,0.03172153
4,48,0.030445721
4,51,0.029237563
4,54,0.0280917
4,57,0.027003871
4,60,0.025970485
4,63,0.024988327
4,66,0.024054421
4,69,0.023165857
4,72,0.022319995
4,75,0.021514483
4,78,0.020747222
4,81,0.020016091
4,84,0.019319052
4,87,0.018654214
4,90,0.0180196
4,93,0.017413614
4,96,0.016834775
4,99,0.01628166
4,102,0.015752902
4,105,0.015247113
4,108,0.014763035
4,111,0.014299518
4,114,0.013855492
4,117,0.013429941
4,120,0.013021901
4,135,0.011214393
4,150,0.009728677
4,165,0.008493622
4,180,0.0074561164
4,195,0.006576174
4,210,0.0058235484
4,225,0.0051750713
4,240,0.0046126926
4,255,0.004122301
4,270,0.0036927464
4,285,0.0033150492
4,300,0.0029818534
4,315,0.002687092
4,330,0.0024257414
